Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
8.296666667,228,100,0,0,11870,5,8.296666667,car,0 days 00:00:00.131000,0 days 01:15:45.521000
23.69666667,231,100,0,0,10774,6,23.69666667,car,0 days 00:00:00.371000,0 days 01:15:45.761000
39.56333333,238,100,0,0,10914,6,39.56333333,car,0 days 00:00:00.611000,0 days 01:15:46.001000
55.69666667,242,100,0,0,11262,6,55.69666667,car,0 days 00:00:00.851000,0 days 01:15:46.241000
72.23,248,100,0,0,11382,6,72.23,car,0 days 00:00:01.091000,0 days 01:15:46.481000
89.03,252,100,0,0,11583,6,89.03,car,0 days 00:00:01.331000,0 days 01:15:46.721000
105.8966667,253,100,0,0,11791,6,105.8966667,car,0 days 00:00:01.571000,0 days 01:15:46.961000
123.23,260,100,0,0,11367,6,123.23,car,0 days 00:00:01.811000,0 days 01:15:47.201000
140.7633333,263,100,0,0,10629,7,140.7633333,car,0 days 00:00:02.051000,0 days 01:15:47.441000
158.4966667,266,100,0,0,10627,7,158.4966667,car,0 days 00:00:02.291000,0 days 01:15:47.681000
176.2966667,267,100,0,0,10894,7,176.2966667,car,0 days 00:00:02.531000,0 days 01:15:47.921000
194.1552778,269,100,0,0,10913,7,194.1552778,car,0 days 00:00:02.770000,0 days 01:15:48.160000
212.2886111,272,100,0,0,11019,7,212.2886111,car,0 days 00:00:03.010000,0 days 01:15:48.400000
230.4886111,273,100,0,0,11111,7,230.4886111,car,0 days 00:00:03.250000,0 days 01:15:48.640000
248.7552778,274,100,0,0,11089,7,248.7552778,car,0 days 00:00:03.490000,0 days 01:15:48.880000
267.0886111,275,100,0,0,11121,7,267.0886111,car,0 days 00:00:03.730000,0 days 01:15:49.120000
285.4219444,275,0,1,0,10935,7,285.4219444,car,0 days 00:00:03.970000,0 days 01:15:49.360000
302.6886111,259,0,1,0,10640,7,302.6886111,car,0 days 00:00:04.210000,0 days 01:15:49.600000
318.4886111,237,0,1,0,9671,7,318.4886111,car,0 days 00:00:04.450000,0 days 01:15:49.840000
332.9552778,217,0,1,0,9568,7,332.9552778,car,0 days 00:00:04.690000,0 days 01:15:50.080000
345.8219444,193,0,1,0,9837,5,345.8219444,car,0 days 00:00:04.930000,0 days 01:15:50.320000
357.8886111,181,0,1,0,10344,5,357.8886111,car,0 days 00:00:05.170000,0 days 01:15:50.560000
369.1352778,168,0,1,0,9895,4,369.1352778,car,0 days 00:00:05.411000,0 days 01:15:50.801000
379.8686111,161,0,1,0,9631,4,379.8686111,car,0 days 00:00:05.651000,0 days 01:15:51.041000
390.3352778,157,1,0,0,9385,4,390.3352778,car,0 days 00:00:05.891000,0 days 01:15:51.281000
400.2686111,149,12,0,0,9149,4,400.2686111,car,0 days 00:00:06.131000,0 days 01:15:51.521000
410.0686111,147,39,0,0,9214,4,410.0686111,car,0 days 00:00:06.371000,0 days 01:15:51.761000
421.4241667,146,54,0,0,9426,4,421.4241667,car,0 days 00:00:06.651000,0 days 01:15:52.041000
431.4908333,151,67,0,0,9680,4,431.4908333,car,0 days 00:00:06.891000,0 days 01:15:52.281000
441.8908333,156,81,0,0,10056,4,441.8908333,car,0 days 00:00:07.131000,0 days 01:15:52.521000
452.6908333,162,100,0,0,10625,4,452.6908333,car,0 days 00:00:07.371000,0 days 01:15:52.761000
464.1575,172,100,0,0,11340,4,464.1575,car,0 days 00:00:07.611000,0 days 01:15:53.001000
476.2908333,182,100,0,0,11430,4,476.2908333,car,0 days 00:00:07.851000,0 days 01:15:53.241000
489.1575,193,100,0,0,12036,4,489.1575,car,0 days 00:00:08.091000,0 days 01:15:53.481000
502.3575,198,100,0,0,10785,4,502.3575,car,0 days 00:00:08.331000,0 days 01:15:53.721000
515.9575,204,100,0,0,10903,5,515.9575,car,0 days 00:00:08.571000,0 days 01:15:53.961000
530.0241667,211,100,0,0,11056,5,530.0241667,car,0 days 00:00:08.811000,0 days 01:15:54.201000
544.5575,218,100,0,0,11477,5,544.5575,car,0 days 00:00:09.051000,0 days 01:15:54.441000
559.4908333,224,100,0,0,11763,5,559.4908333,car,0 days 00:00:09.291000,0 days 01:15:54.681000
574.6275,228,100,0,0,10783,5,574.6275,car,0 days 00:00:09.530000,0 days 01:15:54.920000
589.9608333,230,100,0,0,10595,6,589.9608333,car,0 days 00:00:09.770000,0 days 01:15:55.160000
605.8275,238,100,0,0,11101,6,605.8275,car,0 days 00:00:10.010000,0 days 01:15:55.400000
621.8275,240,100,0,0,11138,6,621.8275,car,0 days 00:00:10.250000,0 days 01:15:55.640000
638.0275,243,100,0,0,11163,6,638.0275,car,0 days 00:00:10.490000,0 days 01:15:55.880000
654.3608333,245,100,0,0,11383,6,654.3608333,car,0 days 00:00:10.730000,0 days 01:15:56.120000
670.7608333,246,100,0,0,11524,6,670.7608333,car,0 days 00:00:10.970000,0 days 01:15:56.360000
687.4275,250,100,0,0,11532,6,687.4275,car,0 days 00:00:11.210000,0 days 01:15:56.600000
704.2275,252,100,0,0,11598,6,704.2275,car,0 days 00:00:11.450000,0 days 01:15:56.840000
721.1608333,254,100,0,0,11666,6,721.1608333,car,0 days 00:00:11.690000,0 days 01:15:57.080000
738.4275,259,97,0,0,11223,6,738.4275,car,0 days 00:00:11.930000,0 days 01:15:57.320000
752.8325,258,78,0,0,10647,7,752.8325,car,0 days 00:00:12.131000,0 days 01:15:57.521000
769.9658333,257,78,0,0,10534,7,769.9658333,car,0 days 00:00:12.371000,0 days 01:15:57.761000
786.9658333,255,69,0,0,10433,7,786.9658333,car,0 days 00:00:12.611000,0 days 01:15:58.001000
803.8991667,254,74,0,0,10405,7,803.8991667,car,0 days 00:00:12.851000,0 days 01:15:58.241000
820.6991667,252,78,0,0,10282,7,820.6991667,car,0 days 00:00:13.091000,0 days 01:15:58.481000
837.4991667,252,88,0,0,10297,7,837.4991667,car,0 days 00:00:13.331000,0 days 01:15:58.721000
854.3658333,253,100,0,0,10516,7,854.3658333,car,0 days 00:00:13.571000,0 days 01:15:58.961000
871.4325,256,100,0,0,10646,7,871.4325,car,0 days 00:00:13.811000,0 days 01:15:59.201000
888.5658333,257,100,0,0,10684,7,888.5658333,car,0 days 00:00:14.051000,0 days 01:15:59.441000
905.8991667,260,100,0,0,10723,7,905.8991667,car,0 days 00:00:14.291000,0 days 01:15:59.681000
923.3658333,262,100,0,0,10767,7,923.3658333,car,0 days 00:00:14.531000,0 days 01:15:59.921000
940.8991667,263,100,0,0,10776,7,940.8991667,car,0 days 00:00:14.771000,0 days 01:16:00.161000
961.5880556,266,100,0,0,10803,7,961.5880556,car,0 days 00:00:15.051000,0 days 01:16:00.441000
979.5213889,269,100,0,0,10957,7,979.5213889,car,0 days 00:00:15.291000,0 days 01:16:00.681000
997.7213889,273,100,0,0,11058,7,997.7213889,car,0 days 00:00:15.531000,0 days 01:16:00.921000
1015.988056,274,100,0,0,11134,7,1015.988056,car,0 days 00:00:15.771000,0 days 01:16:01.161000
1034.377778,277,100,0,0,11134,7,1034.377778,car,0 days 00:00:16.010000,0 days 01:16:01.400000
1052.911111,278,100,0,0,11308,7,1052.911111,car,0 days 00:00:16.250000,0 days 01:16:01.640000
1071.577778,280,100,0,0,11367,7,1071.577778,car,0 days 00:00:16.490000,0 days 01:16:01.880000
1090.444444,283,100,0,0,11447,7,1090.444444,car,0 days 00:00:16.730000,0 days 01:16:02.120000
1109.377778,284,100,0,0,11521,7,1109.377778,car,0 days 00:00:16.970000,0 days 01:16:02.360000
1128.444444,286,100,0,0,11490,7,1128.444444,car,0 days 00:00:17.210000,0 days 01:16:02.600000
1147.577778,287,100,0,0,11635,7,1147.577778,car,0 days 00:00:17.450000,0 days 01:16:02.840000
1166.711111,287,100,0,0,11564,7,1166.711111,car,0 days 00:00:17.690000,0 days 01:16:03.080000
1185.911111,288,100,0,0,11584,7,1185.911111,car,0 days 00:00:17.930000,0 days 01:16:03.320000
1205.044444,287,100,0,0,11580,7,1205.044444,car,0 days 00:00:18.170000,0 days 01:16:03.560000
1224.177778,287,100,0,0,11665,7,1224.177778,car,0 days 00:00:18.410000,0 days 01:16:03.800000
1240.201944,287,100,0,0,11665,7,1240.201944,car,0 days 00:00:18.611000,0 days 01:16:04.001000
1259.335278,287,0,0,0,11506,7,1259.335278,car,0 days 00:00:18.851000,0 days 01:16:04.241000
1281.190833,281,0,0,0,11064,7,1281.190833,car,0 days 00:00:19.131000,0 days 01:16:04.521000
1299.524167,275,0,1,0,10838,7,1299.524167,car,0 days 00:00:19.371000,0 days 01:16:04.761000
1317.190833,265,0,1,0,10689,7,1317.190833,car,0 days 00:00:19.611000,0 days 01:16:05.001000
1332.524167,230,0,1,0,9289,7,1332.524167,car,0 days 00:00:19.851000,0 days 01:16:05.241000
1345.590833,196,0,1,0,9994,7,1345.590833,car,0 days 00:00:20.091000,0 days 01:16:05.481000
1357.390833,177,0,1,0,9854,5,1357.390833,car,0 days 00:00:20.331000,0 days 01:16:05.721000
1368.124167,161,0,1,0,9720,4,1368.124167,car,0 days 00:00:20.571000,0 days 01:16:05.961000
1378.390833,154,0,1,0,9993,3,1378.390833,car,0 days 00:00:20.811000,0 days 01:16:06.201000
1387.124167,131,0,1,0,9376,3,1387.124167,car,0 days 00:00:21.051000,0 days 01:16:06.441000
1395.124167,120,0,1,0,8796,3,1395.124167,car,0 days 00:00:21.291000,0 days 01:16:06.681000
1402.924167,117,0,1,0,8264,3,1402.924167,car,0 days 00:00:21.531000,0 days 01:16:06.921000
1410.324167,111,0,1,0,7828,3,1410.324167,car,0 days 00:00:21.771000,0 days 01:16:07.161000
1417.390833,106,0,0,0,7426,3,1417.390833,car,0 days 00:00:22.011000,0 days 01:16:07.401000
1424.2575,103,0,0,0,7401,3,1424.2575,car,0 days 00:00:22.251000,0 days 01:16:07.641000
1430.924167,100,5,0,0,7205,3,1430.924167,car,0 days 00:00:22.491000,0 days 01:16:07.881000
1437.231111,95,24,0,0,7303,3,1437.231111,car,0 days 00:00:22.730000,0 days 01:16:08.120000
1443.697778,97,36,0,0,7485,3,1443.697778,car,0 days 00:00:22.970000,0 days 01:16:08.360000
1450.431111,101,39,0,0,7707,3,1450.431111,car,0 days 00:00:23.210000,0 days 01:16:08.600000
1457.364444,104,48,0,0,7962,3,1457.364444,car,0 days 00:00:23.450000,0 days 01:16:08.840000
1465.92,110,57,0,0,8570,3,1465.92,car,0 days 00:00:23.730000,0 days 01:16:09.120000
1473.653333,116,71,0,0,8887,3,1473.653333,car,0 days 00:00:23.970000,0 days 01:16:09.360000
1482.155278,127,72,0,0,9800,3,1482.155278,car,0 days 00:00:24.211000,0 days 01:16:09.601000
1491.051389,134,87,0,0,10681,3,1491.051389,car,0 days 00:00:24.450000,0 days 01:16:09.840000
1500.584722,143,100,0,0,11528,3,1500.584722,car,0 days 00:00:24.690000,0 days 01:16:10.080000
1511.118056,158,100,0,0,11982,3,1511.118056,car,0 days 00:00:24.930000,0 days 01:16:10.320000
1520.163056,162,100,0,0,11422,4,1520.163056,car,0 days 00:00:25.131000,0 days 01:16:10.521000
1531.963056,177,100,0,0,11276,4,1531.963056,car,0 days 00:00:25.371000,0 days 01:16:10.761000
1544.496389,188,100,0,0,11760,4,1544.496389,car,0 days 00:00:25.611000,0 days 01:16:11.001000
1557.563056,196,100,0,0,12081,4,1557.563056,car,0 days 00:00:25.851000,0 days 01:16:11.241000
1573.5075,205,100,0,0,11030,5,1573.5075,car,0 days 00:00:26.131000,0 days 01:16:11.521000
1587.574167,211,100,0,0,11330,5,1587.574167,car,0 days 00:00:26.371000,0 days 01:16:11.761000
1602.240833,220,100,0,0,11600,5,1602.240833,car,0 days 00:00:26.611000,0 days 01:16:12.001000
1619.974167,228,100,0,0,11879,5,1619.974167,car,0 days 00:00:26.891000,0 days 01:16:12.281000
1635.440833,232,100,0,0,11469,5,1635.440833,car,0 days 00:00:27.131000,0 days 01:16:12.521000
1651.240833,237,100,0,0,10894,6,1651.240833,car,0 days 00:00:27.371000,0 days 01:16:12.761000
1670.140833,243,100,0,0,11099,6,1670.140833,car,0 days 00:00:27.651000,0 days 01:16:13.041000
1686.740833,249,100,0,0,11458,6,1686.740833,car,0 days 00:00:27.891000,0 days 01:16:13.281000
1703.6075,253,100,0,0,11564,6,1703.6075,car,0 days 00:00:28.131000,0 days 01:16:13.521000
1720.674167,256,100,0,0,11604,6,1720.674167,car,0 days 00:00:28.371000,0 days 01:16:13.761000
1738.074167,261,100,0,0,10491,7,1738.074167,car,0 days 00:00:28.611000,0 days 01:16:14.001000
1755.674167,264,100,0,0,10673,7,1755.674167,car,0 days 00:00:28.851000,0 days 01:16:14.241000
1773.274167,264,100,0,0,10876,7,1773.274167,car,0 days 00:00:29.091000,0 days 01:16:14.481000
1791.340833,271,100,0,0,10964,7,1791.340833,car,0 days 00:00:29.331000,0 days 01:16:14.721000
1809.398611,272,100,0,0,11156,7,1809.398611,car,0 days 00:00:29.570000,0 days 01:16:14.960000
1827.865278,277,100,0,0,11176,7,1827.865278,car,0 days 00:00:29.810000,0 days 01:16:15.200000
1846.465278,279,100,0,0,11303,7,1846.465278,car,0 days 00:00:30.050000,0 days 01:16:15.440000
1868.398611,282,100,0,0,11384,7,1868.398611,car,0 days 00:00:30.330000,0 days 01:16:15.720000
1887.331944,284,100,0,0,11519,7,1887.331944,car,0 days 00:00:30.570000,0 days 01:16:15.960000
1906.398611,286,100,0,0,11597,7,1906.398611,car,0 days 00:00:30.810000,0 days 01:16:16.200000
1925.465278,286,100,0,0,11643,7,1925.465278,car,0 days 00:00:31.050000,0 days 01:16:16.440000
1944.731944,289,100,0,0,10689,8,1944.731944,car,0 days 00:00:31.290000,0 days 01:16:16.680000
1964.198611,292,100,0,0,10639,8,1964.198611,car,0 days 00:00:31.530000,0 days 01:16:16.920000
1980.557778,293,100,0,0,10728,8,1980.557778,car,0 days 00:00:31.731000,0 days 01:16:17.121000
2000.224444,295,100,0,0,10771,8,2000.224444,car,0 days 00:00:31.971000,0 days 01:16:17.361000
2019.957778,296,100,0,0,10755,8,2019.957778,car,0 days 00:00:32.211000,0 days 01:16:17.601000
2039.824444,298,100,0,0,10770,8,2039.824444,car,0 days 00:00:32.451000,0 days 01:16:17.841000
2059.757778,299,100,0,0,10892,8,2059.757778,car,0 days 00:00:32.691000,0 days 01:16:18.081000
2079.757778,300,100,0,0,10890,8,2079.757778,car,0 days 00:00:32.931000,0 days 01:16:18.321000
2099.891111,302,100,0,0,10998,8,2099.891111,car,0 days 00:00:33.171000,0 days 01:16:18.561000
2120.091111,303,100,0,0,11019,8,2120.091111,car,0 days 00:00:33.411000,0 days 01:16:18.801000
2140.357778,304,100,0,0,11005,8,2140.357778,car,0 days 00:00:33.651000,0 days 01:16:19.041000
2160.691111,305,100,0,0,11042,8,2160.691111,car,0 days 00:00:33.891000,0 days 01:16:19.281000
2181.024444,305,100,0,0,11044,8,2181.024444,car,0 days 00:00:34.131000,0 days 01:16:19.521000
2201.357778,305,100,0,0,11077,8,2201.357778,car,0 days 00:00:34.371000,0 days 01:16:19.761000
2221.757778,306,100,0,0,11122,8,2221.757778,car,0 days 00:00:34.611000,0 days 01:16:20.001000
2242.224444,307,100,0,0,11141,8,2242.224444,car,0 days 00:00:34.851000,0 days 01:16:20.241000
2262.757778,308,100,0,0,11146,8,2262.757778,car,0 days 00:00:35.091000,0 days 01:16:20.481000
