Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
10.05055556,229,100,0,0,11972,5,10.05055556,car,0 days 00:00:00.158000,0 days 01:08:21.999000
25.58388889,233,100,0,0,10712,5,25.58388889,car,0 days 00:00:00.398000,0 days 01:08:22.239000
41.58388889,240,100,0,0,11054,6,41.58388889,car,0 days 00:00:00.638000,0 days 01:08:22.479000
57.85055556,244,100,0,0,11237,6,57.85055556,car,0 days 00:00:00.878000,0 days 01:08:22.719000
74.38388889,248,100,0,0,11425,6,74.38388889,car,0 days 00:00:01.118000,0 days 01:08:22.959000
91.25055556,253,100,0,0,11542,6,91.25055556,car,0 days 00:00:01.358000,0 days 01:08:23.199000
108.3838889,257,100,0,0,11777,6,108.3838889,car,0 days 00:00:01.598000,0 days 01:08:23.439000
122.9005556,260,100,0,0,10593,6,122.9005556,car,0 days 00:00:01.799000,0 days 01:08:23.640000
140.4338889,263,100,0,0,10635,7,140.4338889,car,0 days 00:00:02.039000,0 days 01:08:23.880000
158.1005556,265,100,0,0,10747,7,158.1005556,car,0 days 00:00:02.279000,0 days 01:08:24.120000
175.8338889,266,100,0,0,10820,7,175.8338889,car,0 days 00:00:02.519000,0 days 01:08:24.360000
193.7005556,268,100,0,0,10899,7,193.7005556,car,0 days 00:00:02.759000,0 days 01:08:24.600000
211.7005556,270,100,0,0,11011,7,211.7005556,car,0 days 00:00:02.999000,0 days 01:08:24.840000
229.8338889,272,100,0,0,10941,7,229.8338889,car,0 days 00:00:03.239000,0 days 01:08:25.080000
248.0338889,273,100,0,0,10863,7,248.0338889,car,0 days 00:00:03.479000,0 days 01:08:25.320000
266.3005556,274,63,0,0,11029,7,266.3005556,car,0 days 00:00:03.719000,0 days 01:08:25.560000
284.3672222,271,0,0,0,10610,7,284.3672222,car,0 days 00:00:03.959000,0 days 01:08:25.800000
302.2258333,269,0,1,0,10563,7,302.2258333,car,0 days 00:00:04.198000,0 days 01:08:26.039000
318.0258333,237,0,1,0,9983,7,318.0258333,car,0 days 00:00:04.438000,0 days 01:08:26.279000
332.4925,217,0,1,0,9790,6,332.4925,car,0 days 00:00:04.678000,0 days 01:08:26.519000
345.8258333,200,0,1,0,10183,6,345.8258333,car,0 days 00:00:04.918000,0 days 01:08:26.759000
358.2925,187,0,1,0,9391,5,358.2925,car,0 days 00:00:05.158000,0 days 01:08:26.999000
