Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
2.099166666666666,229,100,False,0,11924,5,2.099166666666666,car,0 days 00:00:00.033000,0 days 02:05:28.355000
17.899166666666666,237,100,False,0,10819,6,17.899166666666666,car,0 days 00:00:00.273000,0 days 02:05:28.595000
34.0325,242,100,False,0,11151,6,34.0325,car,0 days 00:00:00.513000,0 days 02:05:28.835000
50.49916666666667,247,100,False,0,11243,6,50.49916666666667,car,0 days 00:00:00.753000,0 days 02:05:29.075000
67.36583333333334,253,100,False,0,11426,6,67.36583333333334,car,0 days 00:00:00.993000,0 days 02:05:29.315000
84.4325,256,100,False,0,11627,6,84.4325,car,0 days 00:00:01.233000,0 days 02:05:29.555000
101.8325,261,100,False,0,10918,6,101.8325,car,0 days 00:00:01.473000,0 days 02:05:29.795000
119.4325,264,100,False,0,10702,7,119.4325,car,0 days 00:00:01.713000,0 days 02:05:30.035000
137.29916666666668,268,100,False,0,10853,7,137.29916666666668,car,0 days 00:00:01.953000,0 days 02:05:30.275000
155.4325,272,100,False,0,10995,7,155.4325,car,0 days 00:00:02.193000,0 days 02:05:30.515000
173.69916666666668,274,100,False,0,11105,7,173.69916666666668,car,0 days 00:00:02.433000,0 days 02:05:30.755000
192.2325,278,100,False,0,11262,7,192.2325,car,0 days 00:00:02.673000,0 days 02:05:30.995000
207.92166666666665,281,100,False,0,11425,7,207.92166666666665,car,0 days 00:00:02.874000,0 days 02:05:31.196000
226.6433333333333,282,100,False,0,11362,7,226.6433333333333,car,0 days 00:00:03.113000,0 days 02:05:31.435000
245.44333333333333,282,100,False,0,11401,7,245.44333333333333,car,0 days 00:00:03.353000,0 days 02:05:31.675000
264.31,283,100,False,0,11442,7,264.31,car,0 days 00:00:03.593000,0 days 02:05:31.915000
283.11,282,100,False,0,11299,7,283.11,car,0 days 00:00:03.833000,0 days 02:05:32.155000
298.1291666666666,269,0,True,0,10752,7,298.1291666666666,car,0 days 00:00:04.034000,0 days 02:05:32.356000
313.72916666666663,234,0,True,0,9896,7,313.72916666666663,car,0 days 00:00:04.274000,0 days 02:05:32.596000
327.9291666666666,213,0,True,0,10255,6,327.9291666666666,car,0 days 00:00:04.514000,0 days 02:05:32.836000
340.5430555555555,190,0,True,0,9857,5,340.5430555555555,car,0 days 00:00:04.753000,0 days 02:05:33.075000
352.47638888888883,179,0,True,0,9926,5,352.47638888888883,car,0 days 00:00:04.993000,0 days 02:05:33.315000
364.1430555555555,175,0,True,0,10144,4,364.1430555555555,car,0 days 00:00:05.233000,0 days 02:05:33.555000
373.29972222222216,164,0,True,0,9739,4,373.29972222222216,car,0 days 00:00:05.434000,0 days 02:05:33.756000
383.8997222222222,159,0,False,0,9664,4,383.8997222222222,car,0 days 00:00:05.674000,0 days 02:05:33.996000
395.60222222222217,151,34,False,0,9487,4,395.60222222222217,car,0 days 00:00:05.953000,0 days 02:05:34.275000
405.7355555555555,152,44,False,0,9589,4,405.7355555555555,car,0 days 00:00:06.193000,0 days 02:05:34.515000
416.1355555555555,156,67,False,0,9838,4,416.1355555555555,car,0 days 00:00:06.433000,0 days 02:05:34.755000
427.1355555555554,165,85,False,0,10447,4,427.1355555555554,car,0 days 00:00:06.673000,0 days 02:05:34.995000
438.4880555555555,171,94,False,0,11102,4,438.4880555555555,car,0 days 00:00:06.912000,0 days 02:05:35.234000
448.3147222222221,176,100,False,0,11504,4,448.3147222222221,car,0 days 00:00:07.113000,0 days 02:05:35.435000
460.91472222222217,189,100,False,0,11410,4,460.91472222222217,car,0 days 00:00:07.353000,0 days 02:05:35.675000
474.0480555555555,197,100,False,0,11995,4,474.0480555555555,car,0 days 00:00:07.593000,0 days 02:05:35.915000
487.7147222222221,205,100,False,0,10912,5,487.7147222222221,car,0 days 00:00:07.833000,0 days 02:05:36.155000
501.9147222222221,213,100,False,0,11225,5,501.9147222222221,car,0 days 00:00:08.073000,0 days 02:05:36.395000
516.4480555555555,218,100,False,0,11461,5,516.4480555555555,car,0 days 00:00:08.313000,0 days 02:05:36.635000
531.1813888888888,221,100,False,0,11782,5,531.1813888888888,car,0 days 00:00:08.553000,0 days 02:05:36.875000
546.4480555555555,229,100,False,0,11047,5,546.4480555555555,car,0 days 00:00:08.793000,0 days 02:05:37.115000
561.9813888888888,233,100,False,0,10669,6,561.9813888888888,car,0 days 00:00:09.033000,0 days 02:05:37.355000
577.8480555555554,238,100,False,0,10971,6,577.8480555555554,car,0 days 00:00:09.273000,0 days 02:05:37.595000
594.0480555555554,243,100,False,0,11193,6,594.0480555555554,car,0 days 00:00:09.513000,0 days 02:05:37.835000
607.6713888888887,244,100,False,0,11382,6,607.6713888888887,car,0 days 00:00:09.714000,0 days 02:05:38.036000
624.2713888888887,249,100,False,0,11497,6,624.2713888888887,car,0 days 00:00:09.954000,0 days 02:05:38.276000
640.935,251,100,False,0,11573,6,640.935,car,0 days 00:00:10.193000,0 days 02:05:38.515000
657.7349999999998,252,100,False,0,11596,6,657.7349999999998,car,0 days 00:00:10.433000,0 days 02:05:38.755000
674.6016666666665,253,100,False,0,10867,6,674.6016666666665,car,0 days 00:00:10.673000,0 days 02:05:38.995000
