Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
8.015,229,100,0,1,10876,5,8.015,car,0 days 00:00:00.126000,0 days 01:03:53.879000
23.615,234,100,0,1,11110,6,23.615,car,0 days 00:00:00.366000,0 days 01:03:54.119000
39.54833333,239,100,0,1,11341,6,39.54833333,car,0 days 00:00:00.606000,0 days 01:03:54.359000
55.88166667,245,100,0,1,11648,6,55.88166667,car,0 days 00:00:00.846000,0 days 01:03:54.599000
72.415,248,100,0,1,11748,6,72.415,car,0 days 00:00:01.086000,0 days 01:03:54.839000
92.17055556,254,100,0,1,11638,6,92.17055556,car,0 days 00:00:01.366000,0 days 01:03:55.119000
109.3038889,257,100,0,1,10647,6,109.3038889,car,0 days 00:00:01.606000,0 days 01:03:55.359000
126.5705556,259,100,0,1,10716,7,126.5705556,car,0 days 00:00:01.846000,0 days 01:03:55.599000
144.1705556,264,100,0,1,10770,7,144.1705556,car,0 days 00:00:02.086000,0 days 01:03:55.839000
161.9705556,267,100,0,1,10939,7,161.9705556,car,0 days 00:00:02.326000,0 days 01:03:56.079000
179.9705556,270,100,0,1,11074,7,179.9705556,car,0 days 00:00:02.566000,0 days 01:03:56.319000
198.1038889,272,100,0,1,11196,7,198.1038889,car,0 days 00:00:02.806000,0 days 01:03:56.559000
216.4372222,275,100,0,1,11292,7,216.4372222,car,0 days 00:00:03.046000,0 days 01:03:56.799000
234.9038889,277,100,0,1,11328,7,234.9038889,car,0 days 00:00:03.286000,0 days 01:03:57.039000
253.5038889,279,100,0,1,11384,7,253.5038889,car,0 days 00:00:03.526000,0 days 01:03:57.279000
272.2372222,281,100,0,1,11502,7,272.2372222,car,0 days 00:00:03.766000,0 days 01:03:57.519000
290.9588889,282,100,1,1,11539,7,290.9588889,car,0 days 00:00:04.005000,0 days 01:03:57.758000
309.2922222,275,0,1,1,10699,7,309.2922222,car,0 days 00:00:04.245000,0 days 01:03:57.998000
325.2255556,239,0,1,1,9100,7,325.2255556,car,0 days 00:00:04.485000,0 days 01:03:58.238000
339.0922222,208,0,1,1,9649,7,339.0922222,car,0 days 00:00:04.725000,0 days 01:03:58.478000
351.9588889,193,0,1,1,9805,6,351.9588889,car,0 days 00:00:04.965000,0 days 01:03:58.718000
364.2255556,184,0,1,1,9590,5,364.2255556,car,0 days 00:00:05.205000,0 days 01:03:58.958000
375.6255556,171,0,1,1,10043,4,375.6255556,car,0 days 00:00:05.445000,0 days 01:03:59.198000
386.5588889,164,0,1,1,9567,4,386.5588889,car,0 days 00:00:05.685000,0 days 01:03:59.438000
396.8922222,155,21,0,1,9330,4,396.8922222,car,0 days 00:00:05.925000,0 days 01:03:59.678000
406.9588889,151,58,0,1,9442,4,406.9588889,car,0 days 00:00:06.165000,0 days 01:03:59.918000
416.9588889,150,69,0,1,9653,4,416.9588889,car,0 days 00:00:06.405000,0 days 01:04:00.158000
425.5013889,153,77,0,1,9781,4,425.5013889,car,0 days 00:00:06.606000,0 days 01:04:00.359000
436.1013889,159,89,0,1,10555,4,436.1013889,car,0 days 00:00:06.846000,0 days 01:04:00.599000
447.1680556,166,100,0,1,11070,4,447.1680556,car,0 days 00:00:07.086000,0 days 01:04:00.839000
458.9680556,177,100,0,1,11295,4,458.9680556,car,0 days 00:00:07.326000,0 days 01:04:01.079000
471.5013889,188,100,0,1,11990,4,471.5013889,car,0 days 00:00:07.566000,0 days 01:04:01.319000
484.3680556,193,100,0,1,10814,4,484.3680556,car,0 days 00:00:07.806000,0 days 01:04:01.559000
497.7013889,200,100,0,1,10917,5,497.7013889,car,0 days 00:00:08.046000,0 days 01:04:01.799000
511.3680556,205,100,0,1,11412,5,511.3680556,car,0 days 00:00:08.286000,0 days 01:04:02.039000
525.6347222,214,100,0,1,11671,5,525.6347222,car,0 days 00:00:08.526000,0 days 01:04:02.279000
540.2347222,219,100,0,1,12008,5,540.2347222,car,0 days 00:00:08.766000,0 days 01:04:02.519000
554.9680556,221,100,0,1,11448,5,554.9680556,car,0 days 00:00:09.006000,0 days 01:04:02.759000
570.3013889,230,97,0,1,11084,6,570.3013889,car,0 days 00:00:09.246000,0 days 01:04:02.999000
585.9680556,235,94,0,1,11124,6,585.9680556,car,0 days 00:00:09.486000,0 days 01:04:03.239000
601.8347222,238,87,0,1,11157,6,601.8347222,car,0 days 00:00:09.726000,0 days 01:04:03.479000
617.7680556,239,84,0,1,11268,6,617.7680556,car,0 days 00:00:09.966000,0 days 01:04:03.719000
633.6347222,238,83,0,1,11310,6,633.6347222,car,0 days 00:00:10.206000,0 days 01:04:03.959000
649.5013889,238,88,0,1,11346,6,649.5013889,car,0 days 00:00:10.446000,0 days 01:04:04.199000
665.3019444,238,89,0,1,11340,6,665.3019444,car,0 days 00:00:10.685000,0 days 01:04:04.438000
681.1686111,238,94,0,1,11377,6,681.1686111,car,0 days 00:00:10.925000,0 days 01:04:04.678000
697.3019444,242,100,0,1,11467,6,697.3019444,car,0 days 00:00:11.165000,0 days 01:04:04.918000
713.6352778,245,100,0,1,11587,6,713.6352778,car,0 days 00:00:11.405000,0 days 01:04:05.158000
730.3019444,250,100,0,1,11795,6,730.3019444,car,0 days 00:00:11.645000,0 days 01:04:05.398000
749.9797222,253,87,0,1,11194,6,749.9797222,car,0 days 00:00:11.925000,0 days 01:04:05.678000
766.9130556,254,72,0,1,10323,7,766.9130556,car,0 days 00:00:12.165000,0 days 01:04:05.918000
783.7130556,252,82,0,1,10296,7,783.7130556,car,0 days 00:00:12.405000,0 days 01:04:06.158000
803.2352778,251,89,0,1,10324,7,803.2352778,car,0 days 00:00:12.685000,0 days 01:04:06.438000
819.9686111,251,94,0,1,10344,7,819.9686111,car,0 days 00:00:12.925000,0 days 01:04:06.678000
836.8352778,253,100,0,1,10449,7,836.8352778,car,0 days 00:00:13.165000,0 days 01:04:06.918000
851.0169444,254,100,0,1,10449,7,851.0169444,car,0 days 00:00:13.366000,0 days 01:04:07.119000
870.9280556,256,100,0,1,10606,7,870.9280556,car,0 days 00:00:13.646000,0 days 01:04:07.399000
888.1280556,258,100,0,1,10688,7,888.1280556,car,0 days 00:00:13.886000,0 days 01:04:07.639000
905.4613889,260,100,0,1,10729,7,905.4613889,car,0 days 00:00:14.126000,0 days 01:04:07.879000
922.9280556,262,100,0,1,10796,7,922.9280556,car,0 days 00:00:14.366000,0 days 01:04:08.119000
940.4613889,263,100,0,1,10821,7,940.4613889,car,0 days 00:00:14.606000,0 days 01:04:08.359000
958.0613889,264,100,0,1,10903,7,958.0613889,car,0 days 00:00:14.846000,0 days 01:04:08.599000
975.8613889,267,100,0,1,10980,7,975.8613889,car,0 days 00:00:15.086000,0 days 01:04:08.839000
993.9280556,271,100,0,1,11098,7,993.9280556,car,0 days 00:00:15.326000,0 days 01:04:09.079000
1012.061389,272,100,0,1,11095,7,1012.061389,car,0 days 00:00:15.566000,0 days 01:04:09.319000
1030.261389,273,100,0,1,11161,7,1030.261389,car,0 days 00:00:15.806000,0 days 01:04:09.559000
1048.528056,274,100,0,1,11206,7,1048.528056,car,0 days 00:00:16.046000,0 days 01:04:09.799000
