Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
14.63,228,100,0,0,10928,6,14.63,car,0 days 00:00:00.231000,0 days 01:17:11.081000
32.90777778,235,100,0,0,11170,6,32.90777778,car,0 days 00:00:00.511000,0 days 01:17:11.361000
48.97444444,241,100,0,0,11357,6,48.97444444,car,0 days 00:00:00.751000,0 days 01:17:11.601000
65.30777778,245,100,0,0,11656,6,65.30777778,car,0 days 00:00:00.991000,0 days 01:17:11.841000
81.97444444,250,100,0,0,11812,6,81.97444444,car,0 days 00:00:01.231000,0 days 01:17:12.081000
98.90777778,254,100,0,0,11701,6,98.90777778,car,0 days 00:00:01.471000,0 days 01:17:12.321000
116.0411111,257,100,0,0,10574,7,116.0411111,car,0 days 00:00:01.711000,0 days 01:17:12.561000
133.4411111,261,100,0,0,10685,7,133.4411111,car,0 days 00:00:01.951000,0 days 01:17:12.801000
151.0411111,264,100,0,0,10852,7,151.0411111,car,0 days 00:00:02.191000,0 days 01:17:13.041000
168.7744444,266,100,0,0,10955,7,168.7744444,car,0 days 00:00:02.431000,0 days 01:17:13.281000
186.7744444,270,100,0,0,11073,7,186.7744444,car,0 days 00:00:02.671000,0 days 01:17:13.521000
204.9077778,272,100,0,0,11228,7,204.9077778,car,0 days 00:00:02.911000,0 days 01:17:13.761000
223.1077778,273,100,0,0,11140,7,223.1077778,car,0 days 00:00:03.151000,0 days 01:17:14.001000
241.4411111,275,100,0,0,11175,7,241.4411111,car,0 days 00:00:03.391000,0 days 01:17:14.241000
259.7744444,275,100,0,0,11242,7,259.7744444,car,0 days 00:00:03.631000,0 days 01:17:14.481000
278.1744444,276,96,0,0,11123,7,278.1744444,car,0 days 00:00:03.871000,0 days 01:17:14.721000
296.3744444,273,14,1,0,10798,7,296.3744444,car,0 days 00:00:04.111000,0 days 01:17:14.961000
312.3077778,240,0,1,0,9502,7,312.3077778,car,0 days 00:00:04.350000,0 days 01:17:15.200000
326.8411111,218,0,1,0,9564,7,326.8411111,car,0 days 00:00:04.590000,0 days 01:17:15.440000
339.7744444,194,0,1,0,10240,7,339.7744444,car,0 days 00:00:04.830000,0 days 01:17:15.680000
351.9744444,183,0,1,0,9484,5,351.9744444,car,0 days 00:00:05.070000,0 days 01:17:15.920000
363.6411111,175,0,1,0,9609,5,363.6411111,car,0 days 00:00:05.310000,0 days 01:17:16.160000
373.0769444,169,0,0,0,10048,5,373.0769444,car,0 days 00:00:05.511000,0 days 01:17:16.361000
384.0102778,164,0,0,0,10064,4,384.0102778,car,0 days 00:00:05.751000,0 days 01:17:16.601000
394.6769444,160,12,0,0,9590,4,394.6769444,car,0 days 00:00:05.991000,0 days 01:17:16.841000
404.9436111,154,65,0,0,9841,4,404.9436111,car,0 days 00:00:06.231000,0 days 01:17:17.081000
415.4102778,157,72,0,0,9896,4,415.4102778,car,0 days 00:00:06.471000,0 days 01:17:17.321000
426.0769444,160,74,0,0,10469,4,426.0769444,car,0 days 00:00:06.711000,0 days 01:17:17.561000
