Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
2.551111111,224,100,0,0,11923,5,2.551111111,car,0 days 00:00:00.041000,0 days 01:14:16.760000
17.95111111,231,100,0,0,11363,5,17.95111111,car,0 days 00:00:00.281000,0 days 01:14:17
33.68444444,236,100,0,0,10933,6,33.68444444,car,0 days 00:00:00.521000,0 days 01:14:17.240000
52.50666667,242,100,0,0,11136,6,52.50666667,car,0 days 00:00:00.801000,0 days 01:14:17.520000
68.90666667,246,100,0,0,11392,6,68.90666667,car,0 days 00:00:01.041000,0 days 01:14:17.760000
85.64,251,100,0,0,11562,6,85.64,car,0 days 00:00:01.281000,0 days 01:14:18
102.64,255,100,0,0,11758,6,102.64,car,0 days 00:00:01.521000,0 days 01:14:18.240000
119.84,258,100,0,0,11850,6,119.84,car,0 days 00:00:01.761000,0 days 01:14:18.480000
134.5241667,263,100,0,0,11290,6,134.5241667,car,0 days 00:00:01.962000,0 days 01:14:18.681000
152.2575,266,100,0,0,10831,7,152.2575,car,0 days 00:00:02.202000,0 days 01:14:18.921000
170.1908333,269,100,0,0,11012,7,170.1908333,car,0 days 00:00:02.442000,0 days 01:14:19.161000
188.3241667,272,100,0,0,10938,7,188.3241667,car,0 days 00:00:02.682000,0 days 01:14:19.401000
206.5241667,273,100,0,0,11089,7,206.5241667,car,0 days 00:00:02.922000,0 days 01:14:19.641000
227.9130556,275,100,0,0,11187,7,227.9130556,car,0 days 00:00:03.202000,0 days 01:14:19.921000
246.3130556,276,100,0,0,11038,7,246.3130556,car,0 days 00:00:03.442000,0 days 01:14:20.161000
264.7797222,277,100,0,0,11047,7,264.7797222,car,0 days 00:00:03.682000,0 days 01:14:20.401000
283.2463889,277,0,1,0,11029,7,283.2463889,car,0 days 00:00:03.922000,0 days 01:14:20.641000
300.5797222,260,0,1,0,10303,7,300.5797222,car,0 days 00:00:04.162000,0 days 01:14:20.881000
316.9777778,247,0,1,0,9334,7,316.9777778,car,0 days 00:00:04.401000,0 days 01:14:21.120000
331.2444444,214,0,1,0,9616,6,331.2444444,car,0 days 00:00:04.641000,0 days 01:14:21.360000
345.9444444,189,0,1,0,9734,5,345.9444444,car,0 days 00:00:04.921000,0 days 01:14:21.640000
357.3444444,171,0,1,0,10193,4,357.3444444,car,0 days 00:00:05.161000,0 days 01:14:21.880000
368.2111111,163,0,1,0,9726,4,368.2111111,car,0 days 00:00:05.401000,0 days 01:14:22.120000
378.6777778,157,0,0,0,9441,4,378.6777778,car,0 days 00:00:05.641000,0 days 01:14:22.360000
388.8777778,153,3,0,0,9300,4,388.8777778,car,0 days 00:00:05.881000,0 days 01:14:22.600000
398.9444444,151,32,0,0,9084,4,398.9444444,car,0 days 00:00:06.121000,0 days 01:14:22.840000
408.6777778,146,51,0,0,9376,4,408.6777778,car,0 days 00:00:06.361000,0 days 01:14:23.080000
418.5444444,148,62,0,0,9647,4,418.5444444,car,0 days 00:00:06.601000,0 days 01:14:23.320000
428.6111111,151,62,0,0,10154,4,428.6111111,car,0 days 00:00:06.841000,0 days 01:14:23.560000
439.0111111,156,72,0,0,10173,4,439.0111111,car,0 days 00:00:07.081000,0 days 01:14:23.800000
449.8111111,162,100,0,0,10530,4,449.8111111,car,0 days 00:00:07.321000,0 days 01:14:24.040000
461.4777778,175,100,0,0,11065,4,461.4777778,car,0 days 00:00:07.561000,0 days 01:14:24.280000
473.6111111,182,100,0,0,11518,4,473.6111111,car,0 days 00:00:07.801000,0 days 01:14:24.520000
486.1444444,188,100,0,0,12158,4,486.1444444,car,0 days 00:00:08.041000,0 days 01:14:24.760000
499.5444444,201,100,0,0,11038,4,499.5444444,car,0 days 00:00:08.281000,0 days 01:14:25
513.2111111,205,100,0,0,10878,5,513.2111111,car,0 days 00:00:08.521000,0 days 01:14:25.240000
527.1355556,208,100,0,0,11283,5,527.1355556,car,0 days 00:00:08.762000,0 days 01:14:25.481000
541.6688889,218,100,0,0,11461,5,541.6688889,car,0 days 00:00:09.002000,0 days 01:14:25.721000
556.5355556,223,100,0,0,11836,5,556.5355556,car,0 days 00:00:09.242000,0 days 01:14:25.961000
571.8688889,230,100,0,0,10716,5,571.8688889,car,0 days 00:00:09.482000,0 days 01:14:26.201000
587.2022222,230,100,0,0,10795,6,587.2022222,car,0 days 00:00:09.722000,0 days 01:14:26.441000
602.9355556,236,100,0,0,10966,6,602.9355556,car,0 days 00:00:09.962000,0 days 01:14:26.681000
618.9355556,240,87,0,0,11035,6,618.9355556,car,0 days 00:00:10.202000,0 days 01:14:26.921000
634.9355556,240,87,0,0,11166,6,634.9355556,car,0 days 00:00:10.442000,0 days 01:14:27.161000
651.0022222,241,91,0,0,11275,6,651.0022222,car,0 days 00:00:10.682000,0 days 01:14:27.401000
667.1355556,242,100,0,0,11300,6,667.1355556,car,0 days 00:00:10.922000,0 days 01:14:27.641000
683.4008333,245,100,0,0,11339,6,683.4008333,car,0 days 00:00:11.161000,0 days 01:14:27.880000
699.9341667,248,100,0,0,11468,6,699.9341667,car,0 days 00:00:11.401000,0 days 01:14:28.120000
716.6008333,250,100,0,0,11516,6,716.6008333,car,0 days 00:00:11.641000,0 days 01:14:28.360000
733.6675,256,100,0,0,11666,6,733.6675,car,0 days 00:00:11.881000,0 days 01:14:28.600000
750.8008333,257,86,0,0,10368,6,750.8008333,car,0 days 00:00:12.121000,0 days 01:14:28.840000
767.9341667,257,84,0,0,10615,7,767.9341667,car,0 days 00:00:12.361000,0 days 01:14:29.080000
785.0675,257,84,0,0,10584,7,785.0675,car,0 days 00:00:12.601000,0 days 01:14:29.320000
804.9008333,255,78,0,0,10446,7,804.9008333,car,0 days 00:00:12.881000,0 days 01:14:29.600000
821.9008333,255,100,0,0,10543,7,821.9008333,car,0 days 00:00:13.121000,0 days 01:14:29.840000
838.9008333,255,100,0,0,10628,7,838.9008333,car,0 days 00:00:13.361000,0 days 01:14:30.080000
856.1008333,258,100,0,0,10597,7,856.1008333,car,0 days 00:00:13.601000,0 days 01:14:30.320000
873.4341667,260,100,0,0,10696,7,873.4341667,car,0 days 00:00:13.841000,0 days 01:14:30.560000
890.9008333,262,100,0,0,10801,7,890.9008333,car,0 days 00:00:14.081000,0 days 01:14:30.800000
908.3675,262,100,0,0,10809,7,908.3675,car,0 days 00:00:14.321000,0 days 01:14:31.040000
925.9675,264,100,0,0,10885,7,925.9675,car,0 days 00:00:14.561000,0 days 01:14:31.280000
943.7008333,266,100,0,0,10920,7,943.7008333,car,0 days 00:00:14.801000,0 days 01:14:31.520000
961.4341667,266,100,0,0,10908,7,961.4341667,car,0 days 00:00:15.041000,0 days 01:14:31.760000
976.4533333,269,100,0,0,11017,7,976.4533333,car,0 days 00:00:15.242000,0 days 01:14:31.961000
994.6533333,273,100,0,0,11128,7,994.6533333,car,0 days 00:00:15.482000,0 days 01:14:32.201000
1012.92,274,100,0,0,11298,7,1012.92,car,0 days 00:00:15.722000,0 days 01:14:32.441000
1031.386667,277,100,0,0,11264,7,1031.386667,car,0 days 00:00:15.962000,0 days 01:14:32.681000
1049.986667,279,100,0,0,11264,7,1049.986667,car,0 days 00:00:16.202000,0 days 01:14:32.921000
1068.72,281,100,0,0,11414,7,1068.72,car,0 days 00:00:16.442000,0 days 01:14:33.161000
1087.586667,283,100,0,0,11423,7,1087.586667,car,0 days 00:00:16.682000,0 days 01:14:33.401000
1106.52,284,100,0,0,11574,7,1106.52,car,0 days 00:00:16.922000,0 days 01:14:33.641000
1125.586667,286,100,0,0,11526,7,1125.586667,car,0 days 00:00:17.162000,0 days 01:14:33.881000
1144.653333,286,100,0,0,11454,7,1144.653333,car,0 days 00:00:17.402000,0 days 01:14:34.121000
