Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
6.0625,225,100,0,0,11855,5,6.0625,car,0 days 00:00:00.097000,0 days 01:23:31.562000
21.52916667,232,100,0,0,11323,5,21.52916667,car,0 days 00:00:00.337000,0 days 01:23:31.802000
37.2625,236,100,0,0,10886,6,37.2625,car,0 days 00:00:00.577000,0 days 01:23:32.042000
53.39583333,242,100,0,0,11078,6,53.39583333,car,0 days 00:00:00.817000,0 days 01:23:32.282000
69.8625,247,100,0,0,11321,6,69.8625,car,0 days 00:00:01.057000,0 days 01:23:32.522000
86.52916667,250,100,0,0,11496,6,86.52916667,car,0 days 00:00:01.297000,0 days 01:23:32.762000
103.5291667,255,100,0,0,11647,6,103.5291667,car,0 days 00:00:01.537000,0 days 01:23:33.002000
120.7958333,259,100,0,0,11377,6,120.7958333,car,0 days 00:00:01.777000,0 days 01:23:33.242000
138.3291667,263,100,0,0,10615,7,138.3291667,car,0 days 00:00:02.017000,0 days 01:23:33.482000
156.0625,266,100,0,0,10804,7,156.0625,car,0 days 00:00:02.257000,0 days 01:23:33.722000
173.9958333,269,100,0,0,10916,7,173.9958333,car,0 days 00:00:02.497000,0 days 01:23:33.962000
192.1958333,273,100,0,0,11067,7,192.1958333,car,0 days 00:00:02.737000,0 days 01:23:34.202000
210.5291667,275,100,0,0,11084,7,210.5291667,car,0 days 00:00:02.977000,0 days 01:23:34.442000
228.9958333,277,100,0,0,11101,7,228.9958333,car,0 days 00:00:03.217000,0 days 01:23:34.682000
247.5291667,278,100,0,0,11209,7,247.5291667,car,0 days 00:00:03.457000,0 days 01:23:34.922000
266.0625,278,100,0,0,11097,7,266.0625,car,0 days 00:00:03.697000,0 days 01:23:35.162000
284.5958333,278,29,1,0,11078,7,284.5958333,car,0 days 00:00:03.937000,0 days 01:23:35.402000
302.2625,265,0,1,0,10320,7,302.2625,car,0 days 00:00:04.177000,0 days 01:23:35.642000
317.7958333,233,0,1,0,10113,7,317.7958333,car,0 days 00:00:04.417000,0 days 01:23:35.882000
331.9958333,213,0,1,0,10524,7,331.9958333,car,0 days 00:00:04.657000,0 days 01:23:36.122000
345.1958333,198,0,1,0,9659,6,345.1958333,car,0 days 00:00:04.897000,0 days 01:23:36.362000
359.0683333,179,0,1,0,10323,5,359.0683333,car,0 days 00:00:05.176000,0 days 01:23:36.641000
370.0683333,165,0,1,0,9888,4,370.0683333,car,0 days 00:00:05.416000,0 days 01:23:36.881000
380.735,160,0,0,0,9663,4,380.735,car,0 days 00:00:05.656000,0 days 01:23:37.121000
391.2016667,157,12,0,0,9182,4,391.2016667,car,0 days 00:00:05.896000,0 days 01:23:37.361000
401.2683333,151,25,0,0,9141,4,401.2683333,car,0 days 00:00:06.136000,0 days 01:23:37.601000
411.2430556,149,52,0,0,9364,4,411.2430556,car,0 days 00:00:06.377000,0 days 01:23:37.842000
421.4430556,153,58,0,0,9685,4,421.4430556,car,0 days 00:00:06.617000,0 days 01:23:38.082000
431.7763889,155,70,0,0,9962,4,431.7763889,car,0 days 00:00:06.857000,0 days 01:23:38.322000
