Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
1.75,225,100,0,0,10942,5,1.75,car,0 days 00:00:00.028000,0 days 01:06:51.159000
17.21416667,231,100,0,0,10932,6,17.21416667,car,0 days 00:00:00.269000,0 days 01:06:51.400000
32.9475,236,100,0,0,11283,6,32.9475,car,0 days 00:00:00.509000,0 days 01:06:51.640000
49.08083333,242,100,0,0,11472,6,49.08083333,car,0 days 00:00:00.749000,0 days 01:06:51.880000
65.4125,246,100,0,0,11673,6,65.4125,car,0 days 00:00:00.988000,0 days 01:06:52.119000
82.07916667,250,100,0,0,11842,6,82.07916667,car,0 days 00:00:01.228000,0 days 01:06:52.359000
99.07916667,255,100,0,0,11965,6,99.07916667,car,0 days 00:00:01.468000,0 days 01:06:52.599000
116.2791667,258,100,0,0,10671,6,116.2791667,car,0 days 00:00:01.708000,0 days 01:06:52.839000
133.7458333,262,100,0,0,10709,7,133.7458333,car,0 days 00:00:01.948000,0 days 01:06:53.079000
151.4125,265,100,0,0,10897,7,151.4125,car,0 days 00:00:02.188000,0 days 01:06:53.319000
169.2125,267,100,0,0,10968,7,169.2125,car,0 days 00:00:02.428000,0 days 01:06:53.559000
187.2791667,271,100,0,0,11051,7,187.2791667,car,0 days 00:00:02.668000,0 days 01:06:53.799000
205.4125,272,100,0,0,11131,7,205.4125,car,0 days 00:00:02.908000,0 days 01:06:54.039000
223.5458333,272,100,0,0,11131,7,223.5458333,car,0 days 00:00:03.148000,0 days 01:06:54.279000
241.6791667,272,100,0,0,11131,7,241.6791667,car,0 days 00:00:03.388000,0 days 01:06:54.519000
262.8347222,272,100,0,0,11131,7,262.8347222,car,0 days 00:00:03.668000,0 days 01:06:54.799000
281.2347222,276,100,0,0,11131,7,281.2347222,car,0 days 00:00:03.908000,0 days 01:06:55.039000
298.8347222,264,0,1,0,10569,7,298.8347222,car,0 days 00:00:04.148000,0 days 01:06:55.279000
315.7680556,254,0,1,0,9661,7,315.7680556,car,0 days 00:00:04.388000,0 days 01:06:55.519000
330.3680556,219,0,1,0,9572,7,330.3680556,car,0 days 00:00:04.628000,0 days 01:06:55.759000
343.4347222,196,0,1,0,10129,7,343.4347222,car,0 days 00:00:04.868000,0 days 01:06:55.999000
355.6347222,183,0,1,0,9408,5,355.6347222,car,0 days 00:00:05.108000,0 days 01:06:56.239000
367.1013889,172,0,1,0,8987,5,367.1013889,car,0 days 00:00:05.348000,0 days 01:06:56.479000
378.1013889,165,0,1,0,8551,5,378.1013889,car,0 days 00:00:05.588000,0 days 01:06:56.719000
388.8347222,161,0,0,0,8412,5,388.8347222,car,0 days 00:00:05.828000,0 days 01:06:56.959000
399.2347222,156,31,0,0,8319,5,399.2347222,car,0 days 00:00:06.068000,0 days 01:06:57.199000
409.3680556,152,44,0,0,8506,5,409.3680556,car,0 days 00:00:06.308000,0 days 01:06:57.439000
419.6347222,154,71,0,0,8627,5,419.6347222,car,0 days 00:00:06.548000,0 days 01:06:57.679000
430.1013889,157,80,0,0,8984,5,430.1013889,car,0 days 00:00:06.788000,0 days 01:06:57.919000
439.0347222,160,89,0,0,9187,5,439.0347222,car,0 days 00:00:06.989000,0 days 01:06:58.120000
450.2347222,168,91,0,0,9635,5,450.2347222,car,0 days 00:00:07.229000,0 days 01:06:58.360000
462.1013889,178,100,0,0,10031,5,462.1013889,car,0 days 00:00:07.469000,0 days 01:06:58.600000
474.3833333,185,100,0,0,10335,5,474.3833333,car,0 days 00:00:07.708000,0 days 01:06:58.839000
487.3166667,194,100,0,0,10700,5,487.3166667,car,0 days 00:00:07.948000,0 days 01:06:59.079000
500.65,200,100,0,0,11105,5,500.65,car,0 days 00:00:08.188000,0 days 01:06:59.319000
514.45,207,100,0,0,11471,5,514.45,car,0 days 00:00:08.428000,0 days 01:06:59.559000
528.7833333,215,100,0,0,11746,5,528.7833333,car,0 days 00:00:08.668000,0 days 01:06:59.799000
543.5166667,221,100,0,0,11916,5,543.5166667,car,0 days 00:00:08.908000,0 days 01:07:00.039000
558.7166667,228,100,0,0,11697,5,558.7166667,car,0 days 00:00:09.148000,0 days 01:07:00.279000
574.1833333,232,98,0,0,11057,6,574.1833333,car,0 days 00:00:09.388000,0 days 01:07:00.519000
589.85,235,95,0,0,11126,6,589.85,car,0 days 00:00:09.628000,0 days 01:07:00.759000
605.7166667,238,89,0,0,11263,6,605.7166667,car,0 days 00:00:09.868000,0 days 01:07:00.999000
621.65,239,84,0,0,11264,6,621.65,car,0 days 00:00:10.108000,0 days 01:07:01.239000
637.5166667,238,84,0,0,11289,6,637.5166667,car,0 days 00:00:10.348000,0 days 01:07:01.479000
653.3833333,238,87,0,0,11320,6,653.3833333,car,0 days 00:00:10.588000,0 days 01:07:01.719000
669.3166667,239,88,0,0,11336,6,669.3166667,car,0 days 00:00:10.828000,0 days 01:07:01.959000
685.3833333,241,94,0,0,11469,6,685.3833333,car,0 days 00:00:11.068000,0 days 01:07:02.199000
701.65,244,100,0,0,11608,6,701.65,car,0 days 00:00:11.308000,0 days 01:07:02.439000
718.25,249,100,0,0,11600,6,718.25,car,0 days 00:00:11.548000,0 days 01:07:02.679000
735.05,252,100,0,0,11884,6,735.05,car,0 days 00:00:11.788000,0 days 01:07:02.919000
751.9833333,254,100,0,0,12000,6,751.9833333,car,0 days 00:00:12.028000,0 days 01:07:03.159000
769.05,256,80,0,0,12018,6,769.05,car,0 days 00:00:12.268000,0 days 01:07:03.399000
785.9833333,254,69,0,0,11902,6,785.9833333,car,0 days 00:00:12.508000,0 days 01:07:03.639000
802.7166667,251,78,0,0,11846,6,802.7166667,car,0 days 00:00:12.748000,0 days 01:07:03.879000
819.3833333,250,79,0,0,11753,6,819.3833333,car,0 days 00:00:12.988000,0 days 01:07:04.119000
835.9166667,248,83,0,0,11793,6,835.9166667,car,0 days 00:00:13.228000,0 days 01:07:04.359000
852.5858333,249,90,0,0,11742,6,852.5858333,car,0 days 00:00:13.469000,0 days 01:07:04.600000
869.3191667,251,100,0,0,11915,6,869.3191667,car,0 days 00:00:13.709000,0 days 01:07:04.840000
886.1858333,253,100,0,0,11965,6,886.1858333,car,0 days 00:00:13.949000,0 days 01:07:05.080000
903.1858333,255,100,0,0,12149,6,903.1858333,car,0 days 00:00:14.189000,0 days 01:07:05.320000
920.1813889,256,100,0,0,11726,6,920.1813889,car,0 days 00:00:14.428000,0 days 01:07:05.559000
937.4480556,259,100,0,0,10702,7,937.4480556,car,0 days 00:00:14.668000,0 days 01:07:05.799000
954.8480556,261,100,0,0,10743,7,954.8480556,car,0 days 00:00:14.908000,0 days 01:07:06.039000
975.3036111,263,100,0,0,10877,7,975.3036111,car,0 days 00:00:15.188000,0 days 01:07:06.319000
993.1036111,267,100,0,0,10958,7,993.1036111,car,0 days 00:00:15.428000,0 days 01:07:06.559000
1011.236944,272,100,0,0,11145,7,1011.236944,car,0 days 00:00:15.668000,0 days 01:07:06.799000
1032.548056,274,100,0,0,11201,7,1032.548056,car,0 days 00:00:15.948000,0 days 01:07:07.079000
1050.881389,275,100,0,0,11331,7,1050.881389,car,0 days 00:00:16.188000,0 days 01:07:07.319000
1069.414722,278,100,0,0,11380,7,1069.414722,car,0 days 00:00:16.428000,0 days 01:07:07.559000
1088.081389,280,100,0,0,11473,7,1088.081389,car,0 days 00:00:16.668000,0 days 01:07:07.799000
1106.881389,282,100,0,0,11494,7,1106.881389,car,0 days 00:00:16.908000,0 days 01:07:08.039000
1125.681389,282,100,0,0,11473,7,1125.681389,car,0 days 00:00:17.148000,0 days 01:07:08.279000
1144.481389,282,100,0,0,11527,7,1144.481389,car,0 days 00:00:17.388000,0 days 01:07:08.519000
1163.281389,282,100,0,0,11523,7,1163.281389,car,0 days 00:00:17.628000,0 days 01:07:08.759000
1182.081389,282,100,0,0,11484,7,1182.081389,car,0 days 00:00:17.868000,0 days 01:07:08.999000
1200.948056,283,100,0,0,11518,7,1200.948056,car,0 days 00:00:18.108000,0 days 01:07:09.239000
1219.814722,283,100,0,0,11518,7,1219.814722,car,0 days 00:00:18.348000,0 days 01:07:09.479000
1238.681389,283,100,0,0,11571,7,1238.681389,car,0 days 00:00:18.588000,0 days 01:07:09.719000
1257.481389,282,100,0,0,11530,7,1257.481389,car,0 days 00:00:18.828000,0 days 01:07:09.959000
1276.348056,283,81,0,0,11539,7,1276.348056,car,0 days 00:00:19.068000,0 days 01:07:10.199000
1294.948056,279,16,1,0,11228,7,1294.948056,car,0 days 00:00:19.308000,0 days 01:07:10.439000
1312.281389,260,0,1,0,10429,7,1312.281389,car,0 days 00:00:19.548000,0 days 01:07:10.679000
1328.014722,236,0,1,0,9331,7,1328.014722,car,0 days 00:00:19.788000,0 days 01:07:10.919000
1339.795556,211,0,1,0,8397,7,1339.795556,car,0 days 00:00:19.989000,0 days 01:07:11.120000
1352.528889,191,0,1,0,8478,7,1352.528889,car,0 days 00:00:20.229000,0 days 01:07:11.360000
1364.062222,173,0,1,0,8639,7,1364.062222,car,0 days 00:00:20.469000,0 days 01:07:11.600000
1374.262222,153,0,1,0,8983,7,1374.262222,car,0 days 00:00:20.709000,0 days 01:07:11.840000
1383.395556,137,0,1,0,8153,5,1383.395556,car,0 days 00:00:20.949000,0 days 01:07:12.080000
1393.393056,129,0,1,0,7396,4,1393.393056,car,0 days 00:00:21.228000,0 days 01:07:12.359000
1401.993056,129,0,1,0,7396,4,1401.993056,car,0 days 00:00:21.468000,0 days 01:07:12.599000
1409.459722,112,0,1,0,6468,4,1409.459722,car,0 days 00:00:21.708000,0 days 01:07:12.839000
1416.526389,106,0,0,0,6296,4,1416.526389,car,0 days 00:00:21.948000,0 days 01:07:13.079000
1423.459722,104,0,0,0,6267,4,1423.459722,car,0 days 00:00:22.188000,0 days 01:07:13.319000
1430.126389,100,5,0,0,5938,4,1430.126389,car,0 days 00:00:22.428000,0 days 01:07:13.559000
1436.593056,97,37,0,0,7298,3,1436.593056,car,0 days 00:00:22.668000,0 days 01:07:13.799000
1443.126389,98,44,0,0,7480,3,1443.126389,car,0 days 00:00:22.908000,0 days 01:07:14.039000
1450.059722,104,53,0,0,7785,3,1450.059722,car,0 days 00:00:23.148000,0 days 01:07:14.279000
1457.259722,108,57,0,0,8236,3,1457.259722,car,0 days 00:00:23.388000,0 days 01:07:14.519000
1464.793056,113,64,0,0,8686,3,1464.793056,car,0 days 00:00:23.628000,0 days 01:07:14.759000
1474.281944,122,74,0,0,9321,3,1474.281944,car,0 days 00:00:23.908000,0 days 01:07:15.039000
1483.081944,132,83,0,0,9852,3,1483.081944,car,0 days 00:00:24.148000,0 days 01:07:15.279000
1492.481944,141,87,0,0,10486,3,1492.481944,car,0 days 00:00:24.388000,0 days 01:07:15.519000
1502.415278,149,95,0,0,11292,3,1502.415278,car,0 days 00:00:24.628000,0 days 01:07:15.759000
1513.015278,159,100,0,0,12056,3,1513.015278,car,0 days 00:00:24.868000,0 days 01:07:15.999000
1524.415278,171,100,0,0,11080,3,1524.415278,car,0 days 00:00:25.108000,0 days 01:07:16.239000
1536.615278,183,100,0,0,11579,4,1536.615278,car,0 days 00:00:25.348000,0 days 01:07:16.479000
1549.348611,191,100,0,0,11875,4,1549.348611,car,0 days 00:00:25.588000,0 days 01:07:16.719000
1562.615278,199,100,0,0,11067,4,1562.615278,car,0 days 00:00:25.828000,0 days 01:07:16.959000
1576.481944,208,100,0,0,11394,5,1576.481944,car,0 days 00:00:26.068000,0 days 01:07:17.199000
1590.748611,214,100,0,0,11785,5,1590.748611,car,0 days 00:00:26.308000,0 days 01:07:17.439000
1605.548611,222,100,0,0,12042,5,1605.548611,car,0 days 00:00:26.548000,0 days 01:07:17.679000
1618.166944,226,100,0,0,11681,5,1618.166944,car,0 days 00:00:26.749000,0 days 01:07:17.880000
1633.566944,231,100,0,0,10853,6,1633.566944,car,0 days 00:00:26.989000,0 days 01:07:18.120000
1649.233611,235,100,0,0,11208,6,1649.233611,car,0 days 00:00:27.229000,0 days 01:07:18.360000
1668.055833,242,100,0,0,11489,6,1668.055833,car,0 days 00:00:27.509000,0 days 01:07:18.640000
1684.453889,247,100,0,0,11577,6,1684.453889,car,0 days 00:00:27.748000,0 days 01:07:18.879000
